level,displayLevel,大境界,阶段,重数,显示文案,备注
326,326级,太乙,太乙中期,6重,太乙中期6重,人物等级外显与修仙等级映射真源
327,327级,太乙,太乙中期,7重,太乙中期7重,人物等级外显与修仙等级映射真源
328,328级,太乙,太乙中期,8重,太乙中期8重,人物等级外显与修仙等级映射真源
329,329级,太乙,太乙中期,9重,太乙中期9重,人物等级外显与修仙等级映射真源
330,330级,太乙,太乙中期,10重,太乙中期10重,人物等级外显与修仙等级映射真源
331,331级,太乙,太乙后期,1重,太乙后期1重,人物等级外显与修仙等级映射真源
332,332级,太乙,太乙后期,2重,太乙后期2重,人物等级外显与修仙等级映射真源
333,333级,太乙,太乙后期,3重,太乙后期3重,人物等级外显与修仙等级映射真源
334,334级,太乙,太乙后期,4重,太乙后期4重,人物等级外显与修仙等级映射真源
335,335级,太乙,太乙后期,5重,太乙后期5重,人物等级外显与修仙等级映射真源
336,336级,太乙,太乙后期,6重,太乙后期6重,人物等级外显与修仙等级映射真源
337,337级,太乙,太乙后期,7重,太乙后期7重,人物等级外显与修仙等级映射真源
338,338级,太乙,太乙后期,8重,太乙后期8重,人物等级外显与修仙等级映射真源
339,339级,太乙,太乙后期,9重,太乙后期9重,人物等级外显与修仙等级映射真源
340,340级,太乙,太乙后期,10重,太乙后期10重,人物等级外显与修仙等级映射真源
341,341级,大罗,大罗初期,1重,大罗初期1重,人物等级外显与修仙等级映射真源
342,342级,大罗,大罗初期,2重,大罗初期2重,人物等级外显与修仙等级映射真源
343,343级,大罗,大罗初期,3重,大罗初期3重,人物等级外显与修仙等级映射真源
344,344级,大罗,大罗初期,4重,大罗初期4重,人物等级外显与修仙等级映射真源
345,345级,大罗,大罗初期,5重,大罗初期5重,人物等级外显与修仙等级映射真源
346,346级,大罗,大罗初期,6重,大罗初期6重,人物等级外显与修仙等级映射真源
347,347级,大罗,大罗初期,7重,大罗初期7重,人物等级外显与修仙等级映射真源
348,348级,大罗,大罗初期,8重,大罗初期8重,人物等级外显与修仙等级映射真源
349,349级,大罗,大罗初期,9重,大罗初期9重,人物等级外显与修仙等级映射真源
350,350级,大罗,大罗初期,10重,大罗初期10重,人物等级外显与修仙等级映射真源
351,351级,大罗,大罗中期,1重,大罗中期1重,人物等级外显与修仙等级映射真源
352,352级,大罗,大罗中期,2重,大罗中期2重,人物等级外显与修仙等级映射真源
353,353级,大罗,大罗中期,3重,大罗中期3重,人物等级外显与修仙等级映射真源
354,354级,大罗,大罗中期,4重,大罗中期4重,人物等级外显与修仙等级映射真源
355,355级,大罗,大罗中期,5重,大罗中期5重,人物等级外显与修仙等级映射真源
356,356级,大罗,大罗中期,6重,大罗中期6重,人物等级外显与修仙等级映射真源
357,357级,大罗,大罗中期,7重,大罗中期7重,人物等级外显与修仙等级映射真源
358,358级,大罗,大罗中期,8重,大罗中期8重,人物等级外显与修仙等级映射真源
359,359级,大罗,大罗中期,9重,大罗中期9重,人物等级外显与修仙等级映射真源
360,360级,大罗,大罗中期,10重,大罗中期10重,人物等级外显与修仙等级映射真源
361,361级,大罗,大罗后期,1重,大罗后期1重,人物等级外显与修仙等级映射真源
362,362级,大罗,大罗后期,2重,大罗后期2重,人物等级外显与修仙等级映射真源
363,363级,大罗,大罗后期,3重,大罗后期3重,人物等级外显与修仙等级映射真源
364,364级,大罗,大罗后期,4重,大罗后期4重,人物等级外显与修仙等级映射真源
365,365级,大罗,大罗后期,5重,大罗后期5重,人物等级外显与修仙等级映射真源
366,366级,大罗,大罗后期,6重,大罗后期6重,人物等级外显与修仙等级映射真源
367,367级,大罗,大罗后期,7重,大罗后期7重,人物等级外显与修仙等级映射真源
368,368级,大罗,大罗后期,8重,大罗后期8重,人物等级外显与修仙等级映射真源
369,369级,大罗,大罗后期,9重,大罗后期9重,人物等级外显与修仙等级映射真源
370,370级,大罗,大罗后期,10重,大罗后期10重,人物等级外显与修仙等级映射真源
371,371级,道祖,道祖初期,1重,道祖初期1重,人物等级外显与修仙等级映射真源
372,372级,道祖,道祖初期,2重,道祖初期2重,人物等级外显与修仙等级映射真源
373,373级,道祖,道祖初期,3重,道祖初期3重,人物等级外显与修仙等级映射真源
374,374级,道祖,道祖初期,4重,道祖初期4重,人物等级外显与修仙等级映射真源
375,375级,道祖,道祖初期,5重,道祖初期5重,人物等级外显与修仙等级映射真源
376,376级,道祖,道祖初期,6重,道祖初期6重,人物等级外显与修仙等级映射真源
377,377级,道祖,道祖初期,7重,道祖初期7重,人物等级外显与修仙等级映射真源
378,378级,道祖,道祖初期,8重,道祖初期8重,人物等级外显与修仙等级映射真源
379,379级,道祖,道祖初期,9重,道祖初期9重,人物等级外显与修仙等级映射真源
380,380级,道祖,道祖初期,10重,道祖初期10重,人物等级外显与修仙等级映射真源
381,381级,道祖,道祖中期,1重,道祖中期1重,人物等级外显与修仙等级映射真源
382,382级,道祖,道祖中期,2重,道祖中期2重,人物等级外显与修仙等级映射真源
383,383级,道祖,道祖中期,3重,道祖中期3重,人物等级外显与修仙等级映射真源
384,384级,道祖,道祖中期,4重,道祖中期4重,人物等级外显与修仙等级映射真源
385,385级,道祖,道祖中期,5重,道祖中期5重,人物等级外显与修仙等级映射真源
386,386级,道祖,道祖中期,6重,道祖中期6重,人物等级外显与修仙等级映射真源
387,387级,道祖,道祖中期,7重,道祖中期7重,人物等级外显与修仙等级映射真源
388,388级,道祖,道祖中期,8重,道祖中期8重,人物等级外显与修仙等级映射真源
389,389级,道祖,道祖中期,9重,道祖中期9重,人物等级外显与修仙等级映射真源
390,390级,道祖,道祖中期,10重,道祖中期10重,人物等级外显与修仙等级映射真源
391,391级,道祖,道祖后期,1重,道祖后期1重,人物等级外显与修仙等级映射真源
392,392级,道祖,道祖后期,2重,道祖后期2重,人物等级外显与修仙等级映射真源
393,393级,道祖,道祖后期,3重,道祖后期3重,人物等级外显与修仙等级映射真源
394,394级,道祖,道祖后期,4重,道祖后期4重,人物等级外显与修仙等级映射真源
395,395级,道祖,道祖后期,5重,道祖后期5重,人物等级外显与修仙等级映射真源
396,396级,道祖,道祖后期,6重,道祖后期6重,人物等级外显与修仙等级映射真源
397,397级,道祖,道祖后期,7重,道祖后期7重,人物等级外显与修仙等级映射真源
398,398级,道祖,道祖后期,8重,道祖后期8重,人物等级外显与修仙等级映射真源
399,399级,道祖,道祖后期,9重,道祖后期9重,人物等级外显与修仙等级映射真源
400,400级,道祖,道祖后期,10重,道祖后期10重,人物等级外显与修仙等级映射真源
